Server is listening...
Accepted connection from ('127.0.0.1', 55353)
Accepted connection from ('127.0.0.1', 55350)
Accepted connection from ('127.0.0.1', 55352)
Accepted connection from ('127.0.0.1', 55351)
Round 1: Client ('127.0.0.1', 55353) - Request idx_data -> Row [6, 5]
Round 1: Client ('127.0.0.1', 55350) - Request idx_data -> Col [8, 6]
Round 1: Client ('127.0.0.1', 55353) - Request idx_data -> Row [4, 5]
Round 1: Client ('127.0.0.1', 55352) - Request idx_data -> Col [8, 0]
Round 1: Client ('127.0.0.1', 55353) - Request idx_data -> Row [8, 5]
Round 1: Client ('127.0.0.1', 55351) - Request idx_data -> Col [0, 2]
Round 1: Client ('127.0.0.1', 55350) - Request idx_data -> Row [2, 9]
Round 1: Client ('127.0.0.1', 55352) - Request idx_data -> Col [6, 1]
Round 1: Client ('127.0.0.1', 55350) - Request idx_data -> Row [7, 5]
Round 1: Client ('127.0.0.1', 55351) - Request idx_data -> Col [8, 2]
Round 1: Client ('127.0.0.1', 55352) - Request idx_data -> Row [1, 1]
Round 1: Client ('127.0.0.1', 55351) - Request idx_data -> Col [9, 6]
Round 2: Client ('127.0.0.1', 55353) - Request idx_data -> Row [9, 4]
Round 2: Client ('127.0.0.1', 55350) - Request idx_data -> Col [7, 3]
Round 2: Client ('127.0.0.1', 55353) - Request idx_data -> Row [8, 4]
Round 2: Client ('127.0.0.1', 55352) - Request idx_data -> Col [5, 8]
Round 2: Client ('127.0.0.1', 55353) - Request idx_data -> Row [5, 4]
Round 2: Client ('127.0.0.1', 55351) - Request idx_data -> Col [1, 9]
Round 2: Client ('127.0.0.1', 55350) - Request idx_data -> Row [6, 4]
Round 2: Client ('127.0.0.1', 55352) - Request idx_data -> Col [8, 2]
Round 2: Client ('127.0.0.1', 55350) - Request idx_data -> Row [9, 0]
Round 2: Client ('127.0.0.1', 55351) - Request idx_data -> Col [2, 5]
Round 2: Client ('127.0.0.1', 55352) - Request idx_data -> Row [0, 5]
Round 2: Client ('127.0.0.1', 55351) - Request idx_data -> Col [9, 5]
Round 3: Client ('127.0.0.1', 55353) - Request idx_data -> Row [7, 3]
Round 3: Client ('127.0.0.1', 55350) - Request idx_data -> Col [1, 8]
Round 3: Client ('127.0.0.1', 55353) - Request idx_data -> Row [6, 9]
Round 3: Client ('127.0.0.1', 55352) - Request idx_data -> Col [4, 5]
Round 3: Client ('127.0.0.1', 55353) - Request idx_data -> Row [2, 7]
Round 3: Client ('127.0.0.1', 55351) - Request idx_data -> Col [6, 7]
Round 3: Client ('127.0.0.1', 55350) - Request idx_data -> Row [4, 6]
Round 3: Client ('127.0.0.1', 55352) - Request idx_data -> Col [5, 8]
Round 3: Client ('127.0.0.1', 55350) - Request idx_data -> Row [7, 1]
Round 3: Client ('127.0.0.1', 55351) - Request idx_data -> Col [8, 9]
Round 3: Client ('127.0.0.1', 55352) - Request idx_data -> Row [0, 0]
Round 3: Client ('127.0.0.1', 55351) - Request idx_data -> Col [0, 8]
Round 4: Client ('127.0.0.1', 55353) - Request idx_data -> Row [9, 6]
Round 4: Client ('127.0.0.1', 55350) - Request idx_data -> Col [1, 4]
Round 4: Client ('127.0.0.1', 55353) - Request idx_data -> Row [9, 0]
Round 4: Client ('127.0.0.1', 55352) - Request idx_data -> Col [3, 0]
Round 4: Client ('127.0.0.1', 55353) - Request idx_data -> Row [7, 4]
Round 4: Client ('127.0.0.1', 55351) - Request idx_data -> Col [4, 4]
Round 4: Client ('127.0.0.1', 55350) - Request idx_data -> Row [7, 9]
Round 4: Client ('127.0.0.1', 55352) - Request idx_data -> Col [5, 0]
Round 4: Client ('127.0.0.1', 55350) - Request idx_data -> Row [1, 7]
Round 4: Client ('127.0.0.1', 55351) - Request idx_data -> Col [9, 9]
Round 4: Client ('127.0.0.1', 55352) - Request idx_data -> Row [0, 6]
Round 4: Client ('127.0.0.1', 55351) - Request idx_data -> Col [3, 0]
Round 5: Client ('127.0.0.1', 55353) - Request idx_data -> Row [3, 2]
Round 5: Client ('127.0.0.1', 55350) - Request idx_data -> Col [3, 5]
